Component,Price,Price(€),Source
Nice!nano competible board, $4.86 , € 4.26 ,Aliexpress
Kailh how swap sockets, $8.52 , € 7.47 ,Aliexpress
Akko V3 Pro Cream Switches, $33.21 , € 29.13 ,Aliexpress
0.91 inch OLED, $1.01 , € 0.89 ,Aliexpress
TCA9555 expension board, $3.52 , € 3.09 ,Aliexpress
stabilizers, $11.92 , € 10.46 ,Aliexpress
EC11 encoder, $5.07 , € 4.45 ,Aliexpress
1N4148 Diodes, $1.45 , € 1.27 ,Aliexpress
0603 SMD 1000nf capacitor, $1.36 , € 1.19 ,Aliexpress
0603 SMD 4.7k resistor, $1.12 , € 0.98 ,Aliexpress
M2.5 heatset insert, $2.44 , € 2.14 ,Aliexpress
M2.5 screws, $5.48 , € 4.81 ,Aliexpress
foam, $6.48 , € 5.68 ,Aliexpress
keycaps, $16.89 , € 14.82 ,Aliexpress
standoff, $3.23 , € 2.83 ,Aliexpress
battery, $6.50 , € 5.70 ,Aliexpress
jst ph2.0 male connector, $1.87 , € 1.64 ,Aliexpress
cable, $11.92 , € 10.46 ,Aliexpress
PCB, $19.80 ,,JLC PCB
Total, $146.65 ,,
